qbname;cpera;yard;int;long;sack;loss;home;points
Don MajkowskiD. Majkowski;0,539215686;110,8;0,6;27;2;12,2;0,4;18
Donald HollasD. Hollas;0,519230769;146,1666667;1,333333333;47;3;17,25;0,583333333;18,08333333
Donovan McNabbD. McNabb;0,589877186;225,9151515;0,709090909;80;2,484848485;15,91515152;0,503030303;22,71515152
Doug FlutieD. Flutie;0,558563536;184;0,764705882;78;1,220588235;7,897058824;0,485294118;21,5
Doug JohnsonD. Johnson;0,567708333;113,0434783;0,782608696;63;1,652173913;9,826086957;0,52173913;17,65217391
Drew BledsoeD. Bledsoe;0,584962709;227,0333333;0,986666667;76;2,706666667;18,18;0,5;21,30666667
Drew BreesD. Brees;0,666284272;284,1336207;0,939655172;81;1,538793103;10,95689655;0,504310345;26,71551724
Drew StantonD. Stanton;0,532;102,0967742;0,612903226;49;1;6;0,548387097;21,90322581
E.J. ManuelE. Manuel;0,583180987;166,7619048;0,714285714;45;2,047619048;12,76190476;0,571428571;23,71428571
Eli ManningE. Manning;0,596287019;240,6231156;1,08040201;68;1,648241206;11,45226131;0,502512563;23,62311558
Elvis GrbacE. Grbac;0,583066362;204,8888889;1,041666667;73;1,625;11,30555556;0,513888889;22,84722222
Eric ZeierE. Zeier;0,582446809;166;0,375;92;2,75;18,625;0,4375;17
Erik KramerE. Kramer;0,566797642;194,030303;1,121212121;54;1,484848485;10,15151515;0,515151515;16,90909091
Frank ReichF. Reich;0,52866242;162,8421053;1,157894737;50;0,947368421;5,894736842;0,526315789;18,57894737
Geno SmithG. Smith;0,57852194;180,6666667;1,090909091;51;2,333333333;16;0,484848485;17,87878788
Glenn FoleyG. Foley;0,539130435;164;1;48;1,642857143;12,28571429;0,5;18,78571429
Greg McElroyG. McElroy;0,612903226;107;0,5;30;5,5;35,5;1;12
Gus FrerotteG. Frerotte;0,557088123;184,9484536;0,907216495;66;1,865979381;11,5257732;0,494845361;21,78350515
Heath ShulerH. Shuler;0,522167488;128,8;1,4;39;2,1;13,2;0,5;15,1
J.P. LosmanJ. Losman;0,592436975;149,3095238;0,80952381;58;2,571428571;18,78571429;0,476190476;16,16666667
J.T. O'SullivanJ. O'Sullivan;0,564202335;143,5384615;1;63;2,923076923;18,92307692;0,538461538;19,23076923
Jacoby BrissettJ. Brissett;0,618181818;133,3333333;0;58;2;15,33333333;1;19,33333333
Jake DelhommeJ. Delhomme;0,593792633;205,6372549;0,990196078;69;1,647058824;12,42156863;0,480392157;21,8627451
Jake LockerJ. Locker;0,575458392;165,5666667;0,733333333;54;2;12,6;0,5;19,8
Jake PlummerJ. Plummer;0,571034483;210,4532374;1,158273381;72;2,043165468;12,48201439;0,496402878;19,79136691
JaMarcus RussellJ. Russell;0,520588235;131,7096774;0,741935484;60;2,258064516;14,74193548;0,548387097;15,06451613
Jameis WinstonJ. Winston;0,596188748;254,125;1,03125;68;1,9375;13,40625;0,5;21,75
Jamie MartinJ. Martin;0,656192237;131,5172414;0,724137931;65;1,24137931;7,931034483;0,586206897;22,44827586
Jared GoffJ. Goff;0,546341463;155,5714286;1;66;3,714285714;31,71428571;0,571428571;12,14285714
Jason CampbellJ. Campbell;0,603256553;190,5795455;0,681818182;84;1,931818182;12,375;0,5;19,32954545
Jason GarrettJ. Garrett;0,569037657;115,7142857;0,285714286;55;1,214285714;6,5;0,428571429;19,21428571
Jay CutlerJ. Cutler;0,619461145;233,5755396;1,050359712;74;2,172661871;13,5323741;0,517985612;22,38129496
Jay FiedlerJ. Fiedler;0,58456099;158,9726027;0,904109589;61;1,561643836;10,05479452;0,520547945;22,23287671
Jeff BlakeJ. Blake;0,568461212;180,4022989;0,827586207;64;2,333333333;14,6091954;0,448275862;18,75862069
